foundation_name,program_name,fiscal_year,description,target_org_types,target_issues,target_regions,amount_min_jpy,amount_max_jpy,amount_note,deadline,deadline_month_recurring,application_method,requires_registration,requires_legal_entity,min_operation_years,total_applicants_recent,total_adopted_recent,adoption_rate_pct,grant_url,pdf_url,status,data_completeness,data_source
つなぐいのち基金,2026年つなぐ助成（公益財団法人つなぐいのち基金助成金 ）,2026,,すべて対象,その他,,,,,2026-06-15,6,,,,,,,,https://fields.canpan.info/grant/detail/2441,,active,partial,CANPAN
日本フィランソロピック財団,第4回「臼井伸二未来へつなぐ基金～子どもの居場所提供支援～」,2026,,事業プロジェクト,子ども・青少年,,,,,2026-06-29,6,,,,,,,,https://fields.canpan.info/grant/detail/2440,,active,partial,CANPAN
アーツカウンシル東京,2026年度 第2期 地域芸術文化活動応援助成,2026,,事業プロジェクト、その他,地域コミュニティ|文化・芸術,,,,,2026-06-17,6,,,,,,,,https://fields.canpan.info/grant/detail/2439,,active,partial,CANPAN
公益推進協会,第1回 ロータス福祉未来基金,2026,,事業プロジェクト,その他,,,,,2026-07-31,7,,,,,,,,https://fields.canpan.info/grant/detail/2438,,upcoming,partial,CANPAN
公益推進協会,緩和ケア普及推進基金（2026年）,2026,,事業プロジェクト,その他,,,,,2026-07-10,7,,,,,,,,https://fields.canpan.info/grant/detail/2437,,active,partial,CANPAN
全日本冠婚葬祭互助協会,全互協奨学金基金（2027年度募集）,2026,,その他,その他,,,,,2026-10-15,10,,,,,,,,https://fields.canpan.info/grant/detail/2436,,upcoming,partial,CANPAN
日本フィランソロピック財団,第1回「秋田ノーザンハピネッツ グローカル・スタートアップ支援基金」,2026,,事業プロジェクト、その他,その他,,,,,2026-05-31,5,,,,,,,,https://fields.canpan.info/grant/detail/2435,,active,partial,CANPAN
全日本冠婚葬祭互助協会,全互協奨学金基金（2027年度募集）,2026,,その他,その他,,,,,2026-10-15,10,,,,,,,,https://fields.canpan.info/grant/detail/2434,,upcoming,partial,CANPAN
全日本冠婚葬祭互助協会,第28回2026(令和8)年度社会貢献基金,2026,,事業プロジェクト,その他,,,,,2027-01-31,1,,,,,,,,https://fields.canpan.info/grant/detail/2433,,upcoming,partial,CANPAN
Soil,Soil 100 for START LINE OSAKA（2026年度）,2026,,事業プロジェクト、その他,その他,,,,,2026-05-05,5,,,,,,,,https://fields.canpan.info/grant/detail/2432,,upcoming,partial,CANPAN
